-------------------------------------------------------------
Rarity Scores for Traits:
-------------------------------------------------------------
Eyes - Big Shades with Spook Enhancements | rarity score = 660.00 | frequency = 1 / 660
Mouth - Jack-o-Lantern | rarity score = 50.77 | frequency = 13 / 660
Type - Candy Bar Costume | rarity score = 50.77 | frequency = 13 / 660
Mouth - Bone People Mouth | rarity score = 50.77 | frequency = 13 / 660
Eyes - Aviators | rarity score = 50.77 | frequency = 13 / 660
Cloths - Captains Costume | rarity score = 47.14 | frequency = 14 / 660
Head - Crown of Sorrows | rarity score = 47.14 | frequency = 14 / 660
Head - Mohawk of Blood | rarity score = 47.14 | frequency = 14 / 660
Mouth - White Pussy Magnet | rarity score = 47.14 | frequency = 14 / 660
Head - Dark Angel Wings | rarity score = 47.14 | frequency = 14 / 660
Cloths - Red Hoodie | rarity score = 47.14 | frequency = 14 / 660
Cloths - Shady Lawyer Suite | rarity score = 47.14 | frequency = 14 / 660
Head - Fancy Hair black | rarity score = 44.00 | frequency = 15 / 660
Eyes - Inner Vision | rarity score = 44.00 | frequency = 15 / 660
Head - Evil Wizard Hat | rarity score = 44.00 | frequency = 15 / 660
Cloths - Fashion Hoodie | rarity score = 44.00 | frequency = 15 / 660
Mouth - Ackchyually Gothy | rarity score = 44.00 | frequency = 15 / 660
Eyes - Spooky MEV Bot Protector Blue | rarity score = 41.25 | frequency = 16 / 660
Eyes - Terrfiying Scamlord Martha Focker Mask | rarity score = 41.25 | frequency = 16 / 660
Full Face - Never Go Full Pumpkin | rarity score = 41.25 | frequency = 16 / 660
Full Face - Fsvgvasdv | rarity score = 41.25 | frequency = 16 / 660
Mouth - CAAANDYYY! | rarity score = 38.82 | frequency = 17 / 660
Eyes - Revealed Skull | rarity score = 38.82 | frequency = 17 / 660
Background - Blood Moon over Block City | rarity score = 38.82 | frequency = 17 / 660
Eyes - BRAAINSSS | rarity score = 38.82 | frequency = 17 / 660
Eyes - Cyclops with Hepatitis | rarity score = 38.82 | frequency = 17 / 660
Eyes - Mask of the Dreadful Black Death | rarity score = 38.82 | frequency = 17 / 660
Head - Stylish Death Knight Horn Replicas | rarity score = 36.67 | frequency = 18 / 660
Ghostly Apparitions - Spooky Skull | rarity score = 36.67 | frequency = 18 / 660
Type - Human Melanin Level 30 | rarity score = 36.67 | frequency = 18 / 660
Cloths - BCPD Police Costume | rarity score = 36.67 | frequency = 18 / 660
Full Face - Pirates of the Drain Plains Costume | rarity score = 34.74 | frequency = 19 / 660
Type - Ghost Chain People | rarity score = 34.74 | frequency = 19 / 660
Eyes - Pumpkin Vision | rarity score = 33.00 | frequency = 20 / 660
Eyes - Open Minded | rarity score = 31.43 | frequency = 21 / 660
Full Face - Floored Ghost | rarity score = 30.00 | frequency = 22 / 660
Eyes - Super cheap Ghost Mask | rarity score = 30.00 | frequency = 22 / 660
Ghostly Apparitions - Evil Smile | rarity score = 28.70 | frequency = 23 / 660
Full Face - Mask of the Dreadful Black Death | rarity score = 28.70 | frequency = 23 / 660
Head - Fake Devil Horns | rarity score = 27.50 | frequency = 24 / 660
Eyes - Sugar Rush | rarity score = 27.50 | frequency = 24 / 660
Eyes - Death Cross Mask Mark II | rarity score = 26.40 | frequency = 25 / 660
Eyes - Insufferable Eye Extension | rarity score = 25.38 | frequency = 26 / 660
Cloths - Black Hoodie | rarity score = 24.44 | frequency = 27 / 660
Mouth - Throat of Darkness | rarity score = 23.57 | frequency = 28 / 660
Type - Sugar Skullz | rarity score = 23.57 | frequency = 28 / 660
Eyes - Zombie eyes | rarity score = 23.57 | frequency = 28 / 660
Eyes - Retarded Blood Mugger | rarity score = 23.57 | frequency = 28 / 660
Mouth - Candy Crusher 500 Kids Edition | rarity score = 22.76 | frequency = 29 / 660
Eyes - Hollowed | rarity score = 22.76 | frequency = 29 / 660
Cloths - Classic Black Suit | rarity score = 21.29 | frequency = 31 / 660
Mouth - Beard of the Dead | rarity score = 20.62 | frequency = 32 / 660
Type - Gellar Spawn | rarity score = 20.00 | frequency = 33 / 660
Eyes - AutoSpooker Slim Edition | rarity score = 20.00 | frequency = 33 / 660
Cloths - Vampire Attack Attire | rarity score = 20.00 | frequency = 33 / 660
Background - Dios de los Muertos | rarity score = 18.86 | frequency = 35 / 660
Type - Purple People | rarity score = 18.86 | frequency = 35 / 660
Ghostly Apparitions - Floorbagorb | rarity score = 17.84 | frequency = 37 / 660
Type - Pumpkin Suit | rarity score = 16.10 | frequency = 41 / 660
Cloths - Pumped Pumpkin Warrior | rarity score = 15.71 | frequency = 42 / 660
Cloths - Dark Knight Costume | rarity score = 14.67 | frequency = 45 / 660
Type - Smashed Pumpkin | rarity score = 14.35 | frequency = 46 / 660
Ghostly Apparitions - Ghost | rarity score = 14.04 | frequency = 47 / 660
Background - Pumpin Pumpkin | rarity score = 13.75 | frequency = 48 / 660
Ghostly Apparitions - Sigil of the Rug Lord | rarity score = 13.20 | frequency = 50 / 660
Ghostly Apparitions - Skull | rarity score = 12.00 | frequency = 55 / 660
Background - Vile Bile | rarity score = 11.58 | frequency = 57 / 660
Background - Crimson King | rarity score = 11.38 | frequency = 58 / 660
Background - Plums of Despair | rarity score = 11.19 | frequency = 59 / 660
Cloths - Freddy Sweater | rarity score = 10.00 | frequency = 66 / 660
Type - Omega Block Zealots | rarity score = 7.86 | frequency = 84 / 660
Type - Black and White Zombie | rarity score = 7.76 | frequency = 85 / 660
Type - Zombie | rarity score = 6.17 | frequency = 107 / 660
Type - Bone People | rarity score = 5.45 | frequency = 121 / 660
Background - Even dorker Dorkness | rarity score = 3.53 | frequency = 187 / 660
Background - Full Moon over Block City | rarity score = 3.32 | frequency = 199 / 660
